
==================================================
epoch=1
новости                      ==> нооостт                     
блистательнейшего            ==> блистательный               
нравы                        ==> нрав                        
гремела                      ==> гремет                      
лагерным                     ==> лагерный                    
полутемную                   ==> полутемный                  
лицо                         ==> лии                         
стужей                       ==> стужи                       
рассмешите                   ==> рассмесить                  
провинциальному              ==> провинциальный              
обыскам                      ==> обыск                       
курирует                     ==> курировать                  
ограблениями                 ==> ограбление                  
ошибочным                    ==> ошибочный                   
уверенной                    ==> уверенный                   
занятой                      ==> занятый                     

==================================================
epoch=10
торжественнейшем             ==> торжественный               
Геббельсом                   ==> Геббельс                    
указательного                ==> указательный                
свинцового                   ==> свинцовый                   
подозрительнейшего           ==> подозрительный              
адресу                       ==> адрес                       
выпрыгни                     ==> выпрыгнуть                  
затопления                   ==> затопление                  
шашлыками                    ==> шашлык                      
инструменты                  ==> инструмент                  
учреждение                   ==> учреждение                  
троими                       ==> трояй                       
Зубовыми                     ==> Зубов                       
скроются                     ==> скреться                    
космодрому                   ==> космодрый                   
унынье                       ==> унынья                      
поганейшим                   ==> поганый                     
удивляете                    ==> удивлять                    
переступить                  ==> переступить                 
паровозы                     ==> паровоз                     
замедленной                  ==> замедленный                 
каминному                    ==> каминный                    
образцы                      ==> образец                     
экспансией                   ==> экспансия                   
серьезней                    ==> серьезнай                   
благословлял                 ==> благословлять               
беспредельнейшим             ==> беспредельный               
доброжелательнейшего         ==> доброжелательный            
взлеты                       ==> взлет                       
тайнейшей                    ==> тайный                      
пристанищами                 ==> пристанище                  
девицы                       ==> девица                      
ярким                        ==> яркий                       
министерства                 ==> министерство                
присаживаемся                ==> присаживаться               
потех                        ==> поте                        
пустейшее                    ==> путтый                      
приобретенными               ==> приобретенный               
туши                         ==> туша                        
религиознейшей               ==> религиозный                 
попал                        ==> попать                      
Черчилль                     ==> Черчилле                    
Италии                       ==> Италия                      
рядовое                      ==> рядовый                     
дружелюбнейшего              ==> дружелюбный                 
равнодушнейший               ==> равнодушный                 
ограничивала                 ==> ограничивать                
обозначением                 ==> обозначение                 
рожку                        ==> рожка                       
ничтожнейшего                ==> ничтожный                   
настойчивейшие               ==> настойчивый                 
Ефремов                      ==> Ефрем                       
поопределеннее               ==> поопределенны               
запутанной                   ==> запутанный                  
отважнейших                  ==> отважный                    
здоровой                     ==> здоровый                    
отпрыску                     ==> отпрыск                     
переложили                   ==> переложить                  
пройденной                   ==> пройденный                  
Корниловых                   ==> Корнилов                    
трубок                       ==> трубок                      
гиен                         ==> гиен                        
моторной                     ==> моторный                    
зажги                        ==> зажга                       
знатное                      ==> знатный                     
девятое                      ==> девятый                     
Остина                       ==> Остин                       
виноватую                    ==> виноватый                   
кинул                        ==> кинуть                      
приветственной               ==> приветственный              
врученное                    ==> врученный                   
авторскими                   ==> авторский                   
пятачке                      ==> пятачка                     
ненавистные                  ==> ненавистный                 
вонь                         ==> вонь                        
чесало                       ==> чесать                      
печаталось                   ==> печататься                  
многозначительнейшие         ==> многозначительный           
микроскопу                   ==> микроскоп                   
подвигались                  ==> подвигаться                 
взломают                     ==> взломать                    
донских                      ==> донский                     
фишкой                       ==> фишка                       
трезвейшего                  ==> трезвый                     
бульвара                     ==> бульвар                     
полигонов                    ==> полигон                     
величественнейшей            ==> величественный              
рассудительном               ==> рассудительный              
ядовитыми                    ==> ядовитый                    
рассказанную                 ==> рассказанный                
фондовое                     ==> фондовый                    
ситами                       ==> сита                        
будущее                      ==> будущий                     
принесенным                  ==> принесенный                 
обвиняешь                    ==> обвинять                    
неуклюжего                   ==> неуклюжие                   
предоставлялась              ==> предоставляться             
окутывайте                   ==> окутывать                   
Мельникову                   ==> Мельников                   
ненадежному                  ==> ненадежный                  

==================================================
epoch=11
турецкого                    ==> турецкий                    
вишни                        ==> вишни                       
предупрежденном              ==> предупрежденный             
документальной               ==> документальный              
автобусную                   ==> автобусный                  
грубый                       ==> грубый                      
наихрабрейшей                ==> наихрабрый                  
положеным                    ==> положеный                   
воспитывать                  ==> воспитывать                 
продаже                      ==> продажа                     
наследия                     ==> наследия                    
кием                         ==> кием                        
фланга                       ==> фланга                      
Михайловне                   ==> Михайловна                  
заслуженным                  ==> заслуженный                 
адресованные                 ==> адресованный                
Тарасовых                    ==> Тарасов                     
Италией                      ==> Италий                      
цинизм                       ==> цинизм                      
симпатичнейшим               ==> симпатичный                 
особенные                    ==> особенный                   
понятнейшем                  ==> понятный                    
умыслах                      ==> умысла                      
годовое                      ==> годовый                     
Ханною                       ==> Ханн                        
Марио                        ==> Марио                       
пас                          ==> пас                         
достопримечательностей       ==> досторрименетельность       
удаленной                    ==> удаленный                   
формальность                 ==> формальность                
бронзовые                    ==> бронзовый                   
приговоренное                ==> приговоренный               
возможнейшими                ==> возможный                   
молниеносное                 ==> молниеносный                
городским                    ==> городский                   
химические                   ==> химический                  
сомкни                       ==> сомкнуть                    
знаменитая                   ==> знаменитый                  
перегрузка                   ==> перегрузка                  
передвинул                   ==> передвинуть                 
нагие                        ==> нагий                       
образцовейшая                ==> образцовый                  
недоступна                   ==> недоступный                 
ротой                        ==> ротый                       
тогдашнему                   ==> тогдашний                   
обвиняемых                   ==> обвиняемый                  
обслуживаетесь               ==> обслуживаться               
четырнадцати                 ==> четыннадцать                
спускам                      ==> спуска                      
автономном                   ==> автономный                  
индивидуальнейший            ==> индивидуальный              
неуклюжие                    ==> неуклюжие                   
висящая                      ==> висящий                     
укромнейшими                 ==> укромный                    
соберетесь                   ==> соберттьс                   
дурочки                      ==> дурочка                     
практичнейшие                ==> практичный                  
очарованию                   ==> очарование                  
свистнут                     ==> свистнуть                   
москвичке                    ==> москвичка                   
бластеру                     ==> бластер                     
механиками                   ==> механик                     
сразу                        ==> сраз                        
детка                        ==> детка                       
инструкторе                  ==> инструктор                  
разгадке                     ==> разгадка                    
ореолами                     ==> ореола                      
дряхлейшими                  ==> дряхлый                     
бессмертие                   ==> бессмертия                  
гнедое                       ==> гнедый                      
наиблагодарнейшему           ==> баиблагодарный              
локальные                    ==> локальный                   
отчаяннейшей                 ==> отчаянный                   
подъем                       ==> подъее                      
тошнотворную                 ==> тошнотворный                
добытой                      ==> добытый                     
коснусь                      ==> коснуться                   
учитываете                   ==> учитывать                   
места                        ==> мест                        
доз                          ==> доз                         
джипы                        ==> джип                        
уладил                       ==> уладить                     
субботнего                   ==> субботний                   
Николь                       ==> Николь                      
мускулистый                  ==> мускулистый                 
транспортах                  ==> транспорт                   
опасной                      ==> опасный                     
окаменела                    ==> окаменеть                   
перекрывает                  ==> перекрывать                 
подвох                       ==> подвой                      
сдаем                        ==> сдать                       
грохочет                     ==> грохотать                   
лишенного                    ==> лишенный                    
съездила                     ==> съездить                    
капот                        ==> капот                       
похудеет                     ==> похудеть                    
развернетесь                 ==> развернуться                
Дарвину                      ==> Дарвина                     
доставим                     ==> доставить                   
сообщенного                  ==> сообщенный                  

==================================================
epoch=12
долгожданное                 ==> долгожданный                
общего                       ==> общий                       
булочкам                     ==> булочкк                     
парном                       ==> парный                      
осужденную                   ==> осужденный                  
неэффективное                ==> неэффективный               
протоколы                    ==> протокол                    
израненных                   ==> израненный                  
тени                         ==> тенит                       
старушки                     ==> старушка                    
менеджере                    ==> менеджер                    
укреплюсь                    ==> укрепаться                  
зыбкое                       ==> зыбкий                      
фишкой                       ==> фишка                       
дюнами                       ==> дюна                        
Яковлева                     ==> Яковлев                     
штатною                      ==> штатный                     
повинного                    ==> повинный                    
подстриженною                ==> подстриженный               
забинтованною                ==> забинтованный               
Ариною                       ==> Арина                       
славу                        ==> слав                        
северян                      ==> северяннй                   
лавкою                       ==> лавка                       
обидней                      ==> обиднай                     
лоцмана                      ==> лоцман                      
напеваю                      ==> напевать                    
супами                       ==> суп                         
песках                       ==> песка                       
восстановлений               ==> восстановление              
Якову                        ==> Яков                        
нешуточнейшая                ==> нешуточный                  
помады                       ==> помада                      
подмигнешь                   ==> подмигнуть                  
пучиной                      ==> пучина                      
лепестка                     ==> лепестка                    
гибни                        ==> гибнить                     
очевиднейшим                 ==> очевидный                   
позволяют                    ==> позволять                   
удобным                      ==> удобный                     
саудовских                   ==> саудовский                  
диких                        ==> дикий                       
занятое                      ==> занятый                     
подергаете                   ==> подергать                   
плене                        ==> плена                       
довоенных                    ==> довоенный                   
нищего                       ==> нищий                       
длительности                 ==> длительность                
распрямятся                  ==> распрямиться                
уплаты                       ==> уплат                       
социалистическим             ==> социалистический            
иголками                     ==> иголка                      
появлению                    ==> появление                   
костыль                      ==> костыль                     
подлиннейшей                 ==> подлинный                   
курильщиком                  ==> курильщик                   
бубны                        ==> бубный                      
Шеридану                     ==> Шеридан                     
грамот                       ==> грамот                      
выходи                       ==> выходить                    
Ельциной                     ==> Ельцина                     
крокодила                    ==> крокодить                   
капельки                     ==> капелька                    
терроризмом                  ==> терроризм                   
бразильским                  ==> бразильский                 
крепостях                    ==> крепость                    
выборных                     ==> выборный                    
кормовых                     ==> кормовый                    
якорей                       ==> якореть                     
поднявшихся                  ==> поднявшийся                 
рассказанного                ==> рассказанный                
забинтованное                ==> забинтованный               
нормальнейшею                ==> нормальный                  
овладеете                    ==> овладеть                    
недоступнее                  ==> недоступний                 
белгородские                 ==> белгородский                
огорчаешь                    ==> огорчать                    
кипятку                      ==> кипятка                     
сплошной                     ==> сплошный                    
президентским                ==> президентский               
парусу                       ==> парус                       
говоров                      ==> говор                       
обитого                      ==> обитый                      
наисложнейшем                ==> наисложный                  
кроватях                     ==> кровать                     
приспособлении               ==> приспособление              
доходнейшим                  ==> доходный                    
Якутии                       ==> Якутий                      
Дэниэл                       ==> Дэниэл                      
солдат                       ==> солдать                     
изогнуто                     ==> изогнутый                   
суке                         ==> сука                        
признает                     ==> признатьть                  
доложит                      ==> доложить                    
глупейшего                   ==> глупый                      
христианским                 ==> христианский                
отличных                     ==> отличный                    
поиском                      ==> поискай                     
попутного                    ==> попутный                    
Дэви                         ==> Дэии                        

==================================================
epoch=13
штрафы                       ==> штраф                       
массивнейшей                 ==> массивный                   
резоном                      ==> резон                       
поганую                      ==> поганый                     
разбеге                      ==> разбег                      
наиспособнейшим              ==> наиспособный                
характеризуемся              ==> характеризоваться           
выигранный                   ==> выигранный                  
удручающее                   ==> удручающий                  
неуклюжему                   ==> неуклюгие                   
желтоватый                   ==> желтоватый                  
стальном                     ==> стальный                    
спасительнейшей              ==> спасительный                
пони                         ==> пони                        
расследовало                 ==> расследовать                
поразилась                   ==> поразиться                  
подлиннейший                 ==> подлинный                   
основательною                ==> основательный               
законным                     ==> законный                    
подтянутою                   ==> подтянутый                  
подстрелю                    ==> подстреть                   
добровольном                 ==> добровольный                
наизаконнейшего              ==> наизаконный                 
награждение                  ==> награждение                 
конкретнейших                ==> конкретный                  
внушительно                  ==> внушительной                
кодексе                      ==> кодекс                      
томительнейших               ==> томительный                 
развернут                    ==> развернуть                  
монархе                      ==> монарха                     
наиблагоприятнейшего         ==> наиблегопристный            
лошади                       ==> лошади                      
армянским                    ==> армянский                   
злобнейшему                  ==> злобный                     
базары                       ==> базар                       
аудитах                      ==> аудит                       
покоряем                     ==> покорять                    
имеющемуся                   ==> имеющийся                   
генеральская                 ==> генеральский                
вскройте                     ==> вскрить                     
пнем                         ==> пнуть                       
тотальною                    ==> тотальный                   
неописуемому                 ==> неописуемый                 
небольшому                   ==> небольший                   
похолодели                   ==> похолодеть                  
потревожил                   ==> потревожить                 
школьном                     ==> школьный                    
высохло                      ==> высохоить                   
образованнейшими             ==> образованный                
съеден                       ==> съеденны                    
наикрупнейшего               ==> наикрупный                  
альянсом                     ==> альянс                      
массового                    ==> массовый                    
алкогольнейший               ==> алкогольный                 
колечком                     ==> колечкк                     
калят                        ==> калеть                      
ребер                        ==> ребер                       
замененное                   ==> замененный                  
черни                        ==> чернуть                     
врожденного                  ==> врожденный                  
вологжанина                  ==> вологжанин                  
скромно                      ==> скромной                    
квартеты                     ==> квартет                     
повернется                   ==> повернуться                 
захватывающей                ==> захватывающий               
деловито                     ==> деловиты                    
проколе                      ==> прокол                      
рабочая                      ==> рабочой                     
измождены                    ==> изможденн й                 
вынужденном                  ==> вынужденный                 
соприкосновения              ==> соприкосновение             
индийскою                    ==> индийский                   
наговорим                    ==> наговорить                  
террористической             ==> террористический            
подвижке                     ==> подвижка                    
возведет                     ==> возвест                     
таинственнейшего             ==> таинственный                
излишнее                     ==> излишной                    
Моисеем                      ==> Моисее                      
хмурейшую                    ==> хмуреший                    
приоткрой                    ==> приоткра                    
трюму                        ==> трюм                        
пивное                       ==> пивный                      
ступням                      ==> ступня                      
компаньону                   ==> компаньон                   
цветущем                     ==> цветущий                    
Чернове                      ==> Чернов                      
непосредственно              ==> непосредственный            
выявленного                  ==> выявленный                  
рассердил                    ==> рассердить                  
разгадке                     ==> разгадка                    
подтвержденный               ==> подтвержденный              
встрепенулись                ==> встрепенуться               
согреешь                     ==> согреть                     
взбегут                      ==> взбечь                      
попытками                    ==> попытоа                     
касающееся                   ==> касающийся                  
прирожденные                 ==> прирожденный                
легальная                    ==> легальный                   
медсестру                    ==> медсестр                    

==================================================
epoch=14
галеры                       ==> галер                       
переписка                    ==> переписка                   
таковой                      ==> таковый                     
человеке                     ==> человек                     
посчастливилось              ==> посчастливиться             
лагерное                     ==> лагерный                    
исправные                    ==> исправный                   
подсвечниками                ==> подсвечник                  
сменится                     ==> смениться                   
клонам                       ==> клон                        
летным                       ==> летный                      
парализованного              ==> парализованный              
превратит                    ==> превратить                  
нахлынувших                  ==> нахлынувший                 
выживет                      ==> выжать                      
недостающих                  ==> недостающий                 
позднем                      ==> позднтть                    
Кеннеди                      ==> Кеннед                      
мукою                        ==> мука                        
милосердный                  ==> милосердный                 
нальетесь                    ==> налиться                    
знамениями                   ==> знамение                    
наиподробнейшая              ==> наиподробный                
субботней                    ==> субботный                   
несанкционированные          ==> несанкционированный         
коробочки                    ==> коробочка                   
пантера                      ==> пантер                      
дисциплину                   ==> дисциплина                  
сыпьте                       ==> сыпеть                      
малюткою                     ==> малютка                     
жены                         ==> жена                        
воспринимают                 ==> воспринимать                
судебный                     ==> судебный                    
кавказский                   ==> кавказский                  
кафедра                      ==> кафедра                     
мольбе                       ==> мольба                      
единорогами                  ==> единорог                    
наисчастливейшего            ==> наисчастлевый               
чада                         ==> чада                        
излюбленнейшей               ==> излюбленный                 
суеты                        ==> сует                        
мурашкой                     ==> мурашка                     
седьмой                      ==> седьма                      
бормотаниях                  ==> бормотание                  
смуглый                      ==> смуглый                     
сословиями                   ==> сословия                    
помосте                      ==> помост                      
позабуду                     ==> позабуд                     
взбесилась                   ==> взбеситься                  
экспедицией                  ==> экспедиция                  
бесформеннейшими             ==> бесформенный                
этажи                        ==> этажа                       
успокоительнейшей            ==> успокоительный              
сокрушительнейшими           ==> сокрушительный              
бесстрастный                 ==> бесстрастный                
блох                         ==> бтоа                        
Шумахера                     ==> Шумяцер                     
ведущей                      ==> ведущий                     
замыкание                    ==> замыкание                   
шанс                         ==> шанса                       
контору                      ==> контор                      
подготовки                   ==> подготовка                  
рюмочках                     ==> рюмочка                     
перегринам                   ==> перегрин                    
ослабленная                  ==> ослабленный                 
засядешь                     ==> засядть                     
точному                      ==> точный                      
потеете                      ==> потеять                     
судебною                     ==> судебный                    
развлекаешь                  ==> развлекать                  
румяным                      ==> румяный                     
творенья                     ==> творенье                    
июньские                     ==> яюнеский                    
вселитесь                    ==> вселиться                   
оригинальные                 ==> оригинальный                
изумительного                ==> изумительный                
мечтаю                       ==> мечтать                     
черноволосое                 ==> черноволосый                
вылазке                      ==> вылазка                     
тройная                      ==> тройный                     
идущим                       ==> идущий                      
плац                         ==> плац                        
сербскому                    ==> сербский                    
опозданиям                   ==> опоздание                   
опорною                      ==> опорный                     
шутливой                     ==> шутливый                    
тупейшее                     ==> тупуй                       
почтительными                ==> почтительный                
господам                     ==> господ                      
обманывало                   ==> обманывать                  
насмешка                     ==> насмешка                    
вешалок                      ==> вешалка                     
поступало                    ==> поступать                   
руководишь                   ==> руководить                  
тайнейшие                    ==> тайный                      
пошевелитесь                 ==> пошевелиться                
расслышу                     ==> расслыш т                   
единственная                 ==> единственный                
аулов                        ==> аул                         
турками                      ==> турка                       

==================================================
epoch=15
екатеринбургских             ==> екатеризбургский            
общительных                  ==> общительный                 
газетным                     ==> газетный                    
лисами                       ==> лис                         
зреет                        ==> зреть                       
читинская                    ==> читинский                   
мощная                       ==> мощный                      
тоннели                      ==> тоннеть                     
наитеснейший                 ==> наитейный                   
Анфису                       ==> Анфис                       
сложившегося                 ==> сложившийся                 
сдержано                     ==> сдержанный                  
комплиментам                 ==> комплимент                  
худеньком                    ==> худенький                   
гнездах                      ==> гнезда                      
дешевейшей                   ==> дешевый                     
моталась                     ==> мотаться                    
оборудованные                ==> оборудованный               
глушь                        ==> глуть                       
повеют                       ==> поветь                      
Грецией                      ==> Греция                      
Кеннетом                     ==> Кеннет                      
заморское                    ==> заморский                   
Ариану                       ==> Ариана                      
казачьи                      ==> казачий                     
состоятельнейший             ==> состоятельный               
императрицей                 ==> императрица                 
подумываю                    ==> подумывать                  
неизменном                   ==> неизменный                  
многолетней                  ==> многолетный                 
обнаружь                     ==> обнаружить                  
плоским                      ==> плоский                     
византийскому                ==> византийский                
простынете                   ==> простынтть                  
стойкой                      ==> стойка                      
светит                       ==> светить                     
подхвати                     ==> подхвать                    
побудим                      ==> побудить                    
трауру                       ==> трарр                       
предостерегало               ==> предостерегать              
жалчайшей                    ==> жалчыйа                     
арендуй                      ==> арендовать                  
изгнанное                    ==> изгнанный                   
встречных                    ==> встречный                   
Лиз                          ==> Лиза                        
регистрации                  ==> регистрация                 
забыта                       ==> забытый                     
строящихся                   ==> строящийся                  
ритмичнейших                 ==> ритмичный                   
распространенных             ==> распространенный            
наибогатейшей                ==> наибогатый                  
пропали                      ==> пропать                     
Сьюзен                       ==> Сьязнн                      
выдвинутый                   ==> выдвинутый                  
томительнее                  ==> томительня                  
ржава                        ==> ржав                        
дилетантов                   ==> дилетант                    
теснили                      ==> теснить                     
пролилась                    ==> пролиться                   
господний                    ==> господний                   
двигатели                    ==> двигатеть                   
бледнейшей                   ==> бледный                     
копошилось                   ==> копошиться                  
лесным                       ==> лесный                      
расплатится                  ==> расплатиться                
ЕС                           ==> ЕС                          
нереальными                  ==> нереальный                  
известнее                    ==> известну                    
пианино                      ==> пианино                     
контуры                      ==> контура                     
Юпитером                     ==> Юпитер                      
полпредом                    ==> полпред                     
вынырнут                     ==> вынырнуть                   
существенное                 ==> существенный                
изысканный                   ==> изысканный                  
неодолимым                   ==> неодолимый                  
горестное                    ==> горестный                   
взятую                       ==> взятый                      
отважнейшего                 ==> отважный                    
мотает                       ==> мотать                      
понесете                     ==> понести                     
Стасику                      ==> Стасик                      
лести                        ==> лести                       
возвратят                    ==> возвратеть                  
юнцов                        ==> юнц                         
штормам                      ==> шторм                       
крестного                    ==> крестный                    
приговоренными               ==> приговоренный               
пищевое                      ==> пищевой                     
воинственнейшее              ==> воинственный                
благословил                  ==> благословит                 
опасным                      ==> опасный                     
клиентке                     ==> клиентка                    
рваное                       ==> рваной                      
шоколадное                   ==> шоколадный                  
кукольные                    ==> кукольный                   
маршалом                     ==> маршал                      
сложный                      ==> сложный                     
отступлению                  ==> отступление                 
сторожевую                   ==> сторожевый                  

==================================================
epoch=16
покори                       ==> покорить                    
неразумнейшей                ==> неразумный                  
безжизненно                  ==> безжизненно                 
свист                        ==> свист                       
голода                       ==> голод                       
Абхазии                      ==> Абхазия                     
уездной                      ==> уездный                     
тушах                        ==> туша                        
маршрутному                  ==> маршрутный                  
инициативе                   ==> инициатив                   
минометном                   ==> минометный                  
прозвените                   ==> прозвенить                  
зеркалом                     ==> зеркал                      
пожирай                      ==> пожирать                    
таможенника                  ==> таможенник                  
обитое                       ==> обитый                      
обруча                       ==> обручи                      
касающейся                   ==> касающийся                  
автоматное                   ==> автоматный                  
поваленной                   ==> поваленный                  
мебельных                    ==> мебельный                   
шерстяной                    ==> шерстяной                   
жалко                        ==> жалко                       
случившемся                  ==> случившийся                 
партизане                    ==> партизан                    
кителя                       ==> китель                      
связаным                     ==> связаный                    
замеченных                   ==> замеченный                  
уменьшение                   ==> уменьшение                  
заграничной                  ==> заграничный                 
катушке                      ==> катушка                     
молчания                     ==> молчание                    
привезенной                  ==> привезенный                 
нахлынула                    ==> нахлынуть                   
оттолкнули                   ==> оттолкнуть                  
пройденный                   ==> пройденный                  
боли                         ==> боли                        
разберется                   ==> разбериться                 
вакууму                      ==> вакуум                      
вол                          ==> вот                         
соловья                      ==> соловьй                     
эмиров                       ==> эмир                        
умельцах                     ==> умелец                      
перейму                      ==> переый                      
седьмом                      ==> седем                       
жилищная                     ==> жилищный                    
кольты                       ==> кольт                       
офицерами                    ==> офицер                      
камешки                      ==> камешка                     
спички                       ==> спичка                      
отделались                   ==> отделаться                  
пробелами                    ==> пробел                      
отчислений                   ==> отчисление                  
смуте                        ==> смоть                       
певицей                      ==> певица                      
пограничниках                ==> пограничник                 
озаботилось                  ==> озаботиться                 
разгрузку                    ==> разгрузка                   
важному                      ==> важный                      
моторных                     ==> моторный                    
напряжена                    ==> напряженный                 
переглянулся                 ==> переглянуться               
абсолютный                   ==> абсолютный                  
участник                     ==> участник                    
самоваров                    ==> самовар                     
проявлялось                  ==> проявляться                 
кафедрального                ==> кафедральный                
Пенза                        ==> Пенза                       
отвалю                       ==> отвалить                    
импровизированной            ==> импровизированный           
срочнейшие                   ==> срочный                     
говорившей                   ==> говоривший                  
частный                      ==> частный                     
гневнейшем                   ==> гневный                     
потолкует                    ==> потолковать                 
повадке                      ==> повадка                     
дистанционной                ==> дистанционный               
даты                         ==> дат                         
пролети                      ==> пролетии                    
оплакивал                    ==> оплакивать                  
царствования                 ==> царствование                
вождения                     ==> вождение                    
походами                     ==> поход                       
управляема                   ==> управляемый                 
Богдану                      ==> Богдан                      
переработку                  ==> переработка                 
распущенном                  ==> распущенный                 
Сильвестром                  ==> Сильвестр                   
умереннейшего                ==> умеренный                   
жанры                        ==> жанр                        
замигает                     ==> замигать                    
ратушами                     ==> ратуши                      
Ивановне                     ==> Ивановна                    
документально                ==> документальны               
удел                         ==> удеть                       
петровский                   ==> петровский                  
спрыгну                      ==> спрыгну ь                   
непростительно               ==> непростительный             
Петровну                     ==> Петровн                     
встречам                     ==> встреч                      

==================================================
epoch=17
плуг                         ==> плуг                        
благу                        ==> благ                        
настойка                     ==> настойка                    
санитарок                    ==> санитарка                   
расколемся                   ==> расколиться                 
мокрейшем                    ==> мокрыйа                     
кандидатской                 ==> кандидатский                
находимся                    ==> находиться                  
птичках                      ==> птичка                      
желающее                     ==> желающий                    
гнезд                        ==> гнезд                       
учреждения                   ==> учреждение                  
привозит                     ==> привозить                   
зараженной                   ==> зараженный                  
йогой                        ==> йога                        
потреплешь                   ==> потрепать                   
приспособлений               ==> приспособление              
маэстро                      ==> маэстро                     
увлекательнейшего            ==> увлекательный               
следственных                 ==> следственный                
роскошнейшей                 ==> роскошный                   
образованнейшими             ==> образованный                
зарычала                     ==> зарычать                    
навозу                       ==> навоз                       
капризнейшему                ==> капризный                   
врученного                   ==> врученный                   
незамеченное                 ==> незамеченный                
поэту                        ==> поэт                        
пассажирские                 ==> пассажирский                
коридоры                     ==> коридор                     
безымянным                   ==> безымянный                  
самок                        ==> самка                       
заносила                     ==> заносить                    
плачущий                     ==> плачущий                    
спартакиадою                 ==> спартакиада                 
несовершенства               ==> несовершенство              
сооружение                   ==> сооружение                  
бриллиантах                  ==> бриллиант                   
пытаю                        ==> пытать                      
срабатываешь                 ==> срабатывать                 
материальной                 ==> материальный                
наиглупейшему                ==> наиглувый                   
надзор                       ==> надзор                      
послужите                    ==> послужить                   
основного                    ==> основной                    
посторонилось                ==> посторониться               
штатных                      ==> штатный                     
индейского                   ==> индейский                   
произнесенной                ==> произнесенный               
гот                          ==> гот                         
возьмется                    ==> возмстться                  
проданной                    ==> проданный                   
туже                         ==> тужа                        
чердаках                     ==> чердак                      
многолюдном                  ==> многолюдный                 
треугольнейшим               ==> треугольный                 
безуспешную                  ==> безуспешный                 
скольким                     ==> скольки                     
денежнейшей                  ==> денежный                    
разочарованную               ==> разочарованный              
достоверно                   ==> достоверный                 
президентского               ==> президентский               
приземистом                  ==> приземистый                 
дилера                       ==> дилер                       
нюха                         ==> нюха                        
банан                        ==> банан  й                    
исламе                       ==> ислам                       
векселем                     ==> вексело                     
мятежников                   ==> мятежник                    
дежурный                     ==> дежурный                    
лейся                        ==> леяьсс                      
траурной                     ==> траурный                    
сохните                      ==> сохнуть                     
уникальна                    ==> уникальный                  
обильном                     ==> обильный                    
повреждениями                ==> повреждение                 
сплошном                     ==> сплошный                    
продолжительнейших           ==> продолжительный             
рухнешь                      ==> рухнуть                     
заполнен                     ==> заполненный                 
лезли                        ==> лезлт                       
комфортным                   ==> комфортный                  
промахам                     ==> промаха                     
назначена                    ==> назначенный                 
психологическую              ==> психологический             
тамошнем                     ==> тамошнит                    
расценка                     ==> расценка                    
коллективное                 ==> коллективный                
знаний                       ==> знанить                     
проживание                   ==> проживание                  
Адыгеях                      ==> Адегий                      
безумное                     ==> безумный                    
красноярская                 ==> красноярский                
невиданнейшим                ==> невиданный                  
фоны                         ==> фон                         
устному                      ==> устный                      
потянуло                     ==> потянуть                    
метод                        ==> метод                       
жру                          ==> жпа                         
пехотою                      ==> пехота                      

==================================================
epoch=18
кабачком                     ==> кабачок                     
полированная                 ==> полированный                
несколькими                  ==> нескольие                   
бегущею                      ==> бегущий                     
апелляциям                   ==> апелляция                   
гольфом                      ==> гольт                       
малышек                      ==> малышка                     
силовой                      ==> силовой                     
неглубокому                  ==> неглубокий                  
барабанщиками                ==> барабанщик                  
проситесь                    ==> проситься                   
охотничьим                   ==> охотничий                   
аэропортов                   ==> аэропорт                    
колхозное                    ==> колхозный                   
сдерживаемыми                ==> сдерживаемый                
капитана                     ==> капитан                     
подручной                    ==> подручный                   
разбейте                     ==> разбеть                     
промелькнул                  ==> промеллкнуть                
капсул                       ==> капсут                      
Державиным                   ==> Державин                    
постояннейших                ==> постоянный                  
невероятнейшем               ==> невероятный                 
бревенчатого                 ==> бревенчатый                 
пенсии                       ==> пенсия                      
стащу                        ==> стащттт                     
оставшейся                   ==> оставшийся                  
хрустальных                  ==> хрустальный                 
шарит                        ==> шарит                       
майского                     ==> майский                     
нереальные                   ==> нереальный                  
окончательная                ==> окончательный               
тесную                       ==> тесный                      
скованного                   ==> скованный                   
целебной                     ==> целебный                    
рабочих                      ==> рабочий                     
преувеличениях               ==> преувеличение               
любимого                     ==> любимый                     
сотруднике                   ==> сотрудник                   
сольными                     ==> сольный                     
затопление                   ==> затопление                  
двинула                      ==> двинуть                     
театральнейшие               ==> театральный                 
вините                       ==> винить                      
обовьете                     ==> обвчиьь                     
банкомат                     ==> банкомат                    
воспринятых                  ==> воспринятый                 
медицинскою                  ==> медицинский                 
награждаем                   ==> награждать                  
ожидающих                    ==> ожидающий                   
теснейшей                    ==> тееный                      
пульсировали                 ==> пульсировать                
борделях                     ==> бордель                     
замаскированное              ==> замаскированный             
привязало                    ==> привязать                   
соединяемся                  ==> соединяться                 
старшеклассника              ==> старцеклассник              
доведется                    ==> довесться                   
полноценнейшая               ==> полноценный                 
важна                        ==> важна                       
генетическое                 ==> генетический                
обсерваторией                ==> обсерватория                
хозяйственное                ==> хозяйственный               
основателями                 ==> основатель                  
гудим                        ==> гудить                      
хватка                       ==> хватка                      
продолжайся                  ==> продолжаться                
рельеф                       ==> рельеф                      
одноэтажнейших               ==> одноэтажный                 
переводчиками                ==> переводчик                  
расстрелами                  ==> расстрел                    
забилась                     ==> забиться                    
рассеянным                   ==> рассеянный                  
сербскими                    ==> сербский                    
